Transakcija: c1315d1410101ad15914101417111117c1912121219f11151812121219000000, Siuntėjas: 4e6174616c6965203936333467363137343631366d3639363532303339333633, Gavėjas: 5a6f6579203635313563366a3635373932303336333533313563366a36353739, Suma: 69BTC
Transakcija: 1215d101212101114101415f12121012a10b1212101291314f10121210000000, Siuntėjas: 456c6c6965203532373435366736693639363532303335333233373435366736, Gavėjas: 456c656e6120323437343536673635366d363132303332333433373435366736, Suma: 46BTC
Transakcija: 12c14f12111012141612f1412141117912ab1a17cec1314fb1a1700000000000, Siuntėjas: 456c6f6973652033383034353667366c36393733363532303333333833303435, Gavėjas: 4175726f7261203232343137353732366e373236313230333233323431373537, Suma: 19BTC
Transakcija: cb1a713eb15d12e141114121517d1218e171215f171814e17121500000000000, Siuntėjas: 4d6164656c796e203835383466363136343635366d3739367332303338333533, Gavėjas: 4c756e612039313034653735366b3631323033393331333034653735366b3631, Suma: 65BTC
Transakcija: a1516a10bd121114915d14f15f410aee1512915fff1012e00000000000000000, Siuntėjas: 44656c696c6168203235323434363536693639366d3631363832303332333533, Gavėjas: 48616e6e61682032343834383631366b366d3631363832303332333433383438, Suma: 5BTC
Transakcija: cb1a713eb15d12e1411141215f18101613f1a1012714121813f1a00000000000, Siuntėjas: 4d6164656c796e203835383466363136343635366d3739367332303338333533, Gavėjas: 48617a656c203831393438363137673635366d32303338333133393438363137, Suma: 19BTC
Transakcija: 15d1316a16131615c1291715ff12dd12131214159915f17f1812000000000000, Siuntėjas: 49736162656c6c612032303734393733363136323635366f3671363132303332, Gavėjas: 4769616e6e6120393231343736393631366d366f363132303339333233313437, Suma: 5BTC
Transakcija: 1013111217111312121917f17141711151a10f10f1a14121314f1410f1a00000, Siuntėjas: 4576656c796e20393039343537363635366b3739367132303339333033393435, Gavėjas: 4c61796c6120323330346536313739366b363132303332333333303465363137, Suma: 85BTC
Transakcija: 3121210f121115f17f15f12111512c14b12111012141612f1012141100000000, Siuntėjas: 4e6f7261203932353467366a3732363132303339333233353467366a37323631, Gavėjas: 456c6f6973652034383034353667366c36393733363532303334333833303435, Suma: 67BTC
Transakcija: bdd10d11f119101415fd11f15c171011e151491219f151510e00000000000000, Siuntėjas: 43686c6f6520353236343336383669366e363532303335333233363433363836, Gavėjas: 4c61696e657920353534346536313639366d3635373932303335333533343465, Suma: 34BTC
Transakcija: c1110ebb1ac1413141012bb1acde714db15d1911e11141414000000000000000, Siuntėjas: 4d61726961203438323466363137323639363132303334333833323466363137, Gavėjas: 4d616469736f6e20333336346636313634363937333672367332303333333333, Suma: 6BTC
Transakcija: 124b1416ba1212912121214141610f1ab1411131211919f10111711000000000, Siuntėjas: 4b656e6e6564792033373234643635366b366d36353634373932303333333733, Gavėjas: 457665726c79203436393435373636353732366d373932303334333633393435, Suma: 93BTC
Transakcija: 9151419e12c141712141518e12c3141315f121315f181415f121315000000000, Siuntėjas: 456d696c7920353138343536683639366b373932303335333133383435366836, Gavėjas: 4e6f7661203133353467366a3736363132303331333333353467366a37363631, Suma: 3BTC
Transakcija: 812b1710121115f1017141012111517a17b121417d111219f101610140000000, Siuntėjas: 436f7261203439333433366a3732363132303334333933333433366a37323631, Gavėjas: 4175647265792034373434313735363437323635373932303334333733343431, Suma: 12BTC
Transakcija: 1215dc1011101415915f11141011aaa1811d129ff161611d1290000000000000, Siuntėjas: 456c69616e61203633343435366736393631366f363132303336333333343435, Gavėjas: 4564656e20323737343536343635366d3230333233373337343536343635366d, Suma: 23BTC
Transakcija: 9dff11c1215f1414f11c12151791211a14171191115f16ff1400000000000000, Siuntėjas: 456d6d612033303234353668366a3631323033333330333234353668366a3631, Gavėjas: 4175726f726120373232343137353732366e3732363132303337333233323431, Suma: 29BTC
Transakcija: 1515e714101510111911e1114141419d1014121414d141314111712141400000, Siuntėjas: 416c6c69736f6e20333030343136673669363937333672367332303333333033, Gavėjas: 4c79646961203639373465373936343639363132303336333933373465373936, Suma: 8BTC
Transakcija: 19d101b121414d1413141817121414151a101410f1a14121314141410f1a0000, Siuntėjas: 4c79646961203139373465373936343639363132303331333933373465373936, Gavėjas: 4c61796c6120333330346536313739366b363132303333333333303465363137, Suma: 81BTC
Transakcija: c1315d1510101ad1591410141811cd101914111215f151617141112150000000, Siuntėjas: 4e6174616c6965203136333467363137343631366d3639363532303331333633, Gavėjas: 416e6e612035373934313669366b3631323033353337333934313669366b3631, Suma: 32BTC
Transakcija: 1117121912121219f1715181212121917db18e171215f101814e171215000000, Siuntėjas: 5a6f6579203935313563366a3635373932303339333533313563366a36353739, Gavėjas: 4c756e612034313034653735366b3631323033343331333034653735366b3631, Suma: 54BTC
Transakcija: 3121310f121115f18f15f121115f410cee1512915ff111012e00000000000000, Siuntėjas: 4e6f7261203132353467366a3732363132303331333233353467366a37323631, Gavėjas: 48616e6e61682036343834383631366b366d3631363832303336333433383438, Suma: 67BTC
Transakcija: 131110e1017c19f1511111017c191013141415c1411171214181015c14000000, Siuntėjas: 5275627920353636353237353632373932303335333633363532373536323739, Gavėjas: 52696c6579203134333532363936693635373932303331333433333532363936, Suma: 24BTC
Transakcija: cb1a717eb15d12e1411141615121416e191312141614e1913121416000000000, Siuntėjas: 4d6164656c796e203735383466363136343635366d3739367332303337333533, Gavėjas: 4976792037333834393736373932303337333333383439373637393230333733, Suma: 4BTC
Transakcija: 1516101413161115f15141413161115b1611da141115f16f12a1411150000000, Siuntėjas: 49736c6120353333343937333669363132303335333333333439373336693631, Gavėjas: 4d696c6120373238346636393669363132303337333233383466363936693631, Suma: 70BTC
Transakcija: f12d121318c1511101412141318c14161571711f141112141511141615000000, Siuntėjas: 4772616365203833393437373236313633363532303338333333393437373236, Gavėjas: 4c696c6c69616e20373535346536393669366b36393631367332303337333533, Suma: 46BTC
Transakcija: 1117121912121219f1715181212121910a16111912131212171119f141815000, Siuntėjas: 5a6f6579203935313563366a3635373932303339333533313563366a36353739, Gavėjas: 47656e657369732031353734373635366b363537333639373332303331333533, Suma: 54BTC
Transakcija: de101c101112e1413141818101112f13f101ce1511161211f151818e00000000, Siuntėjas: 536f666961203131323533366a36363639363132303331333133323533366a36, Gavėjas: 4861727065722035313134383631373237303635373232303335333133313438, Suma: 100BTC
Transakcija: 1311fe1017c19f1411111017c19c131510161415c14131514151416140000000, Siuntėjas: 5275627920333636353237353632373932303333333633363532373536323739, Gavėjas: 4162696761696c20373331343136323639363736313639367132303337333333, Suma: 21BTC
Transakcija: 101314c15c1411171214101015c1491515ab11c14121415ff10f110000000000, Siuntėjas: 52696c6579203434333532363936693635373932303334333433333532363936, Gavėjas: 456d696c696120323432343536683639366b3639363132303332333433323435, Suma: 75BTC
